Configuration	STM32F103RD
STM32CubeMX 	4.7.1
Date	05/12/2015
MCU	STM32F103RDTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN14	ADC1_IN14	PC4
SPI1	Receive Only Master	SPI1_MISO	PA6
SPI1	Receive Only Master	SPI1_SCK	PA5
SPI2	Full-Duplex Master	SPI2_MISO	PB14
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PB13
SYS	JTAG(5-pin)	SYS_JTCK-SWCLK	PA14
SYS	JTAG(5-pin)	SYS_JTDI	PA15
SYS	JTAG(5-pin)	SYS_JTDO-TRACESWO	PB3
SYS	JTAG(5-pin)	SYS_JTMS-SWDIO	PA13
SYS	JTAG(5-pin)	SYS_NJTRST	PB4
TIM5	External Clock Mode 1	TIM5_VS_ControllerModeClock	VP_TIM5_VS_ControllerModeClock
TIM5	TI1_ED	TIM5_CH1	PA0-WKUP
TIM5	PWM Generation CH2	TIM5_CH2	PA1
TIM8	Internal Clock	TIM8_VS_ClockSourceINT	VP_TIM8_VS_ClockSourceINT
TIM8	PWM Generation CH1	TIM8_CH1	PC6
TIM8	PWM Generation CH2N	TIM8_CH2N	PB0
TIM8	PWM Generation CH3N	TIM8_CH3N	PB1
UART4	Asynchronous	UART4_RX	PC11
UART4	Asynchronous	UART4_TX	PC10
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART2	Asynchronous	USART2_RX	PA3
USART2	Asynchronous	USART2_TX	PA2



Pin Nb	PINs	FUNCTIONs	LABELs
5	PD0-OSC_IN*	RCC_OSC_IN	
8	PC0	GPIO_Output	DDC_TEST
9	PC1	GPIO_Output	DDC_R0
10	PC2	GPIO_Output	DDC_R1
11	PC3	GPIO_Output	DDC_R2
14	PA0-WKUP	TIM5_CH1	
15	PA1	TIM5_CH2	
16	PA2	USART2_TX	
17	PA3	USART2_RX	
20	PA4	GPIO_Output	RS-485 Direction
21	PA5	SPI1_SCK	
22	PA6	SPI1_MISO	
23	PA7	GPIO_Output	SPI1_CS
24	PC4	ADC1_IN14	Analog Temp
26	PB0	TIM8_CH2N	
27	PB1	TIM8_CH3N	
28	PB2	GPIO_Input	BOOT1 PIN
34	PB13	SPI2_SCK	
35	PB14	SPI2_MISO	
36	PB15	SPI2_MOSI	
37	PC6	TIM8_CH1	
38	PC7	GPIO_Output	AT DF CS
39	PC8	GPIO_Output	AT DF WP
40	PC9	GPIO_Output	LED
41	PA8	GPIO_Output	LED
42	PA9	USART1_TX	
43	PA10	USART1_RX	
44	PA11	GPIO_Output	SW BTN
46	PA13	SYS_JTMS-SWDIO	
49	PA14	SYS_JTCK-SWCLK	
50	PA15	SYS_JTDI	
51	PC10	UART4_TX	
52	PC11	UART4_RX	
53	PC12	GPIO_Output	ON/OFF Modulator
55	PB3	SYS_JTDO-TRACESWO	
56	PB4	SYS_NJTRST	
58	PB6	GPIO_Output	TEC DIRECTION
59	PB7	GPIO_Input	TEC FAULT
